timestamp,location_name,latitude,longitude,hour,minute,day_of_week,is_weekend,frc,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_closure,speed_ratio,travel_time_ratio,congestion_level,hour_sin,hour_cos,dow_sin,dow_cos,min_sin,min_cos,is_peak_morning,is_peak_evening,is_off_peak,speed_lag_1,speed_lag_3,speed_lag_6,speed_lag_12,ratio_lag_1,ratio_lag_3,ratio_lag_6,speed_roll_mean_6,speed_roll_mean_12,speed_roll_std_6,tt_ratio_roll_6,speed_trend,frc_code
2026-04-03 21:54:45.193817+00:00,a8_east,48.12,11.75,21,54,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,-0.5877852522924734,0.8090169943749473,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 21:55:05.430621+00:00,a8_east,48.12,11.75,21,55,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,-0.49999999999999967,0.8660254037844388,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:01:38.277087+00:00,a8_east,48.12,11.75,22,1,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.10452846326765346,0.9945218953682733,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:06:38.063792+00:00,a8_east,48.12,11.75,22,6,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.5877852522924731,0.8090169943749475,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:11:38.032556+00:00,a8_east,48.12,11.75,22,11,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.9135454576426009,0.4067366430758004,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:16:37.977504+00:00,a8_east,48.12,11.75,22,16,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.9945218953682734,-0.10452846326765333,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:21:38.000032+00:00,a8_east,48.12,11.75,22,21,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8090169943749475,-0.587785252292473,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:26:38.014017+00:00,a8_east,48.12,11.75,22,26,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.40673664307580004,-0.913545457642601,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:31:37.986026+00:00,a8_east,48.12,11.75,22,31,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,-0.10452846326765305,-0.9945218953682734,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:36:38.001769+00:00,a8_east,48.12,11.75,22,36,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,-0.587785252292473,-0.8090169943749476,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:41:38.003077+00:00,a8_east,48.12,11.75,22,41,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,-0.9135454576426005,-0.4067366430758009,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
2026-04-03 22:46:37.980804+00:00,a8_east,48.12,11.75,22,46,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,-0.9945218953682734,0.10452846326765299,0,0,1,65.0,65.0,65.0,65.0,1.0,1.0,1.0,65.0,65.0,0.0,1.0,0.0,4
